iter	Passed	Remaining
959	5804	241
960	5809	235
961	5814	229
962	5820	223
963	5825	217
964	5831	211
965	5836	205
966	5842	199
967	5848	193
968	5854	187
969	5859	181
970	5864	175
971	5870	169
972	5875	163
973	5882	157
974	5887	150
975	5892	144
976	5897	138
977	5902	132
978	5908	126
979	5915	120
980	5920	114
981	5926	108
982	5932	102
983	5938	96
984	5946	90
985	5952	84
986	5958	78
987	5963	72
988	5969	66
989	5974	60
990	5979	54
991	5985	48
992	5991	42
993	5996	36
994	6001	30
995	6009	24
996	6014	18
997	6021	12
998	6030	6
999	6041	0
